Year,Month,Day,Movement,UOM,Family,Material,Business_Unit,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price
2011,1,10,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,880,4943.40,3707.56,2685.76,1021.80,5371.52,5.62
2011,1,17,Sales,kg,Family 14,Material 44,BU Alpha,Client 0942,RS,Representative 25,Item 0026,1540,11092.62,7791.25,4779.85,3011.40,9559.70,7.20
2011,1,17,Sales,kg,Family 14,Material 44,BU Charlie,Client 1164,CE,Representative 39,Item 0026,660,3638.25,2901.94,2014.32,887.62,4028.64,5.51
2011,1,17,Sales,kg,Family 14,Material 44,BU Charlie,Client 1517,AL,Representative 27,Item 0026,1100,6121.50,4882.62,3357.20,1525.42,6714.40,5.57
2011,1,17,Sales,kg,Family 14,Material 44,BU Charlie,Client 0551,SP,Representative 36,Item 0026,220,1653.96,1145.96,671.44,474.52,1342.88,7.52
2011,1,17,Sales,kg,Family 14,Material 44,BU Charlie,Client 0457,SP,Representative 43,Item 0026,11440,70870.80,49103.34,34914.88,14188.46,69829.76,6.20
2011,1,17,Sales,kg,Family 14,Material 44,BU Charlie,Client 0996,RS,Representative 12,Item 0026,1100,7137.90,5353.42,3357.20,1996.22,6714.40,6.49
2011,1,24,Sales,kg,Family 14,Material 44,BU Alpha,Client 0611,RS,Representative 57,Item 0026,400,3049.20,2141.70,1241.52,900.18,2483.04,7.62
2011,1,24,Sales,kg,Family 14,Material 44,BU Bravo,Client 0054,PR,Representative 49,Item 0026,440,2878.26,2158.70,1386.44,772.26,2772.88,6.54
2011,1,24,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,2640,16659.72,11701.46,8318.64,3382.82,16637.28,6.31
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0119,PB,Representative 27,Item 0026,6600,35481.60,28300.80,20143.20,8157.60,40286.40,5.38
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 1247,PE,Representative 27,Item 0026,1980,10727.64,8556.57,6042.96,2513.61,12085.92,5.42
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0712,SP,Representative 46,Item 0026,1320,8118.00,5905.84,4028.64,1877.20,8057.28,6.15
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0432,CE,Representative 39,Item 0026,2200,11988.90,9562.58,6714.40,2848.18,13428.80,5.45
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0663,PI,Representative 27,Item 0026,3740,20184.78,16099.77,11414.48,4685.29,22828.96,5.40
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,440,2471.70,1853.78,1342.88,510.90,2685.76,5.62
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0258,MG,Representative 29,Item 0026,1760,10200.96,7650.72,5371.52,2279.20,10743.04,5.80
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0032,CE,Representative 39,Item 0026,6600,36521.10,29129.93,20143.20,8986.73,40286.40,5.53
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0752,SP,Representative 36,Item 0026,2200,15592.50,10803.37,6714.40,4088.97,13428.80,7.09
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 1536,SP,Representative 43,Item 0026,10560,68191.20,47246.76,32229.12,15017.64,64458.24,6.46
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0457,SP,Representative 43,Item 0026,5940,36798.30,25495.97,18128.88,7367.09,36257.76,6.20
2011,1,24,Sales,kg,Family 14,Material 44,BU Charlie,Client 0996,RS,Representative 12,Item 0026,1540,10187.10,7495.12,4722.87,2772.25,9445.74,6.62
2011,1,31,Sales,kg,Family 14,Material 44,BU Alpha,Client 0611,RS,Representative 57,Item 0026,440,3354.12,2355.88,1365.67,990.21,2731.34,7.62
2011,1,31,Sales,kg,Family 14,Material 44,BU Bravo,Client 0019,SC,Representative 12,Item 0026,880,5442.36,3822.62,2772.88,1049.74,5545.76,6.18
2011,1,31,Sales,kg,Family 14,Material 44,BU Bravo,Client 0728,SC,Representative 07,Item 0026,2200,14091.00,9897.25,6932.20,2965.05,13864.40,6.41
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 1326,ES,Representative 37,Item 0026,440,2656.50,2118.87,1342.88,775.99,2685.76,6.04
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0705,PR,Representative 49,Item 0026,1100,6121.50,4591.12,3357.20,1233.92,6714.40,5.57
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 1100,SP,Representative 12,Item 0026,2200,12936.00,8962.81,6714.40,2248.41,13428.80,5.88
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 0169,GO,Representative 24,Item 0026,440,2818.20,2247.85,1342.88,904.97,2685.76,6.41
2011,1,31,Sales,kg,Family 14,Material 44,BU Charlie,Client 1517,AL,Representative 27,Item 0026,1100,5948.25,4744.44,3357.20,1387.24,6714.40,5.41
