Year,Month,Day,Movement,UOM,Family,Material,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price,Business_Unit
2010.0,3.0,5.0,0,0,0,0,5,14,21,0,220.0,1252.02,939.03,685.74,253.29,1371.48,5.69,1
2010.0,3.0,5.0,0,0,0,0,120,19,23,0,660.0,4795.56,3368.31,2057.22,1311.09,4114.44,7.27,1
2010.0,3.0,5.0,0,0,0,0,69,19,1,0,3520.0,23026.08,16173.08,10971.84,5201.24,21943.68,6.54,1
2010.0,3.0,5.0,0,0,0,0,121,8,8,0,220.0,1178.1,939.68,657.18,282.5,1314.36,5.36,2
2010.0,3.0,5.0,0,0,0,0,139,7,12,0,440.0,2753.52,2065.15,1314.37,750.78,2628.74,6.26,2
2010.0,3.0,5.0,0,0,0,0,3,20,3,0,4400.0,24855.6,17221.34,13143.68,4077.66,26287.36,5.65,2
2010.0,3.0,5.0,0,0,0,0,136,12,10,0,1320.0,7345.8,5859.15,3943.1,1916.05,7886.2,5.57,2
2010.0,3.0,5.0,0,0,0,0,115,18,10,0,6600.0,39085.2,29313.89,19715.52,9598.37,39431.04,5.92,2
2010.0,3.0,5.0,0,0,0,0,34,2,17,0,2640.0,12751.2,10170.59,7886.21,2284.38,15772.42,4.83,2
2010.0,3.0,5.0,0,0,0,0,141,20,15,0,1100.0,7392.0,5121.6,3285.92,1835.68,6571.84,6.72,2
2010.0,3.0,5.0,0,0,0,0,138,12,10,0,1980.0,11018.7,8788.71,5914.66,2874.05,11829.32,5.57,2
2010.0,3.0,5.0,0,0,0,0,4,7,3,0,3300.0,17879.4,13409.55,9857.76,3551.79,19715.52,5.42,2
2010.0,3.0,5.0,0,0,0,0,24,7,12,0,1760.0,10200.96,7650.72,5257.47,2393.25,10514.94,5.8,2
2010.0,3.0,5.0,0,0,0,0,111,20,3,0,2200.0,13744.5,9522.97,6571.84,2951.13,13143.68,6.25,2
2010.0,3.0,5.0,0,0,0,0,41,20,18,0,2200.0,13813.8,9571.0,6571.84,2999.16,13143.68,6.28,2
2010.0,3.0,8.0,0,0,0,0,5,14,21,0,660.0,3756.06,2817.05,2057.22,759.83,4114.44,5.69,1
2010.0,3.0,8.0,0,0,0,0,165,19,3,0,220.0,1406.79,988.1,685.74,302.36,1371.48,6.39,1
2010.0,3.0,8.0,0,0,0,0,69,19,1,0,220.0,1358.28,954.04,685.74,268.3,1371.48,6.17,1
2010.0,3.0,8.0,0,0,0,0,22,15,3,0,1760.0,10034.64,7525.97,5257.47,2268.5,10514.94,5.7,2
2010.0,3.0,8.0,0,0,0,0,3,20,3,0,2420.0,13441.89,9313.3,7229.02,2084.28,14458.04,5.55,2
2010.0,3.0,8.0,0,0,0,0,137,12,6,0,1100.0,5544.0,4422.0,3285.92,1136.08,6571.84,5.04,2
2010.0,3.0,15.0,0,0,0,0,5,14,21,0,660.0,3756.06,2817.04,2057.22,759.82,4114.44,5.69,1
2010.0,3.0,15.0,0,0,0,0,78,19,23,0,220.0,1381.38,970.25,685.74,284.51,1371.48,6.28,1
2010.0,3.0,15.0,0,0,0,0,3,20,3,0,3080.0,17625.3,12211.8,9200.58,3011.22,18401.16,5.72,2
2010.0,3.0,15.0,0,0,0,0,90,2,3,0,440.0,2656.5,2118.87,1314.37,804.5,2628.74,6.04,2
2010.0,3.0,22.0,0,0,0,0,120,19,23,0,880.0,6431.04,4517.04,2742.96,1774.08,5485.92,7.31,1
2010.0,3.0,22.0,0,0,0,0,69,19,1,0,3520.0,23026.08,16173.1,10971.84,5201.26,21943.68,6.54,1
2010.0,3.0,22.0,0,0,0,0,79,19,1,0,1540.0,9799.02,6882.66,4800.18,2082.48,9600.36,6.36,1
2010.0,3.0,22.0,0,0,0,0,127,20,3,0,4400.0,27129.61,17541.48,13143.68,4397.8,26287.36,6.17,2
2010.0,3.0,22.0,0,0,0,0,18,15,3,0,880.0,5017.32,3763.0,2628.74,1134.26,5257.48,5.7,2
2010.0,3.0,22.0,0,0,0,0,3,20,3,0,4620.0,26923.05,18653.81,13800.86,4852.95,27601.72,5.83,2
2010.0,3.0,22.0,0,0,0,0,89,9,8,0,1100.0,6063.75,4836.56,3285.92,1550.64,6571.84,5.51,2
2010.0,3.0,22.0,0,0,0,0,66,13,6,0,4400.0,23215.5,18517.12,13143.68,5373.44,26287.36,5.28,2
2010.0,3.0,22.0,0,0,0,0,112,6,8,0,6600.0,36712.99,24597.37,19715.52,4881.85,39431.04,5.56,2
2010.0,3.0,22.0,0,0,0,0,144,15,14,0,220.0,1694.53,1091.47,657.18,434.29,1314.36,7.7,2
2010.0,3.0,22.0,0,0,0,0,106,20,2,0,440.0,3003.0,2080.65,1314.37,766.28,2628.74,6.83,2
2010.0,3.0,29.0,0,0,0,0,5,14,21,0,660.0,3756.06,2817.05,2057.22,759.83,4114.44,5.69,1
2010.0,3.0,29.0,0,0,0,0,120,19,23,0,440.0,3197.04,2245.54,1371.48,874.06,2742.96,7.27,1
2010.0,3.0,29.0,0,0,0,0,127,20,3,0,6600.0,40694.42,26312.22,19715.52,6596.7,39431.04,6.17,2
2010.0,3.0,29.0,0,0,0,0,71,16,6,0,2640.0,16236.22,10878.12,7886.21,2991.91,15772.42,6.15,2
2010.0,4.0,3.0,0,0,0,0,132,18,5,0,440.0,2748.9,1930.77,1442.28,488.49,2884.56,6.25,0
2010.0,4.0,3.0,0,0,0,0,60,18,5,0,220.0,1570.8,1103.28,721.14,382.14,1442.28,7.14,0
2010.0,4.0,3.0,0,0,0,0,167,0,10,0,2200.0,12751.2,10170.6,6825.28,3345.32,13650.56,5.8,2
2010.0,4.0,3.0,0,0,0,0,3,20,4,0,22000.0,123030.6,85242.61,68252.8,16989.81,136505.6,5.59,2
2010.0,4.0,3.0,0,0,0,0,90,2,3,0,440.0,2656.5,2118.87,1365.06,753.81,2730.12,6.04,2
2010.0,4.0,3.0,0,0,0,0,115,18,10,0,6600.0,39085.2,29313.89,20475.84,8838.05,40951.68,5.92,2
2010.0,4.0,3.0,0,0,0,0,34,2,17,0,6600.0,33610.5,26808.38,20475.84,6332.54,40951.68,5.09,2
2010.0,4.0,3.0,0,0,0,0,89,9,8,0,1100.0,6479.55,5168.21,3412.64,1755.57,6825.28,5.89,2
2010.0,4.0,3.0,0,0,0,0,66,13,10,0,2200.0,11665.5,9304.62,6825.28,2479.34,13650.56,5.3,2
2010.0,4.0,3.0,0,0,0,0,4,7,4,0,2200.0,11711.7,8783.78,6825.28,1958.5,13650.56,5.32,2
2010.0,4.0,3.0,0,0,0,0,24,7,12,0,3300.0,18433.8,13825.35,10237.92,3587.43,20475.84,5.59,2
2010.0,4.0,3.0,0,0,0,0,71,16,10,0,2640.0,16500.22,11055.0,8190.34,2864.66,16380.68,6.25,2
2010.0,4.0,3.0,0,0,0,0,2,2,17,0,6600.0,35550.9,28356.06,20475.84,7880.22,40951.68,5.39,2
2010.0,4.0,3.0,0,0,0,0,7,20,2,0,4400.0,27027.0,18725.85,13650.56,5075.29,27301.12,6.14,2
2010.0,4.0,3.0,0,0,0,0,168,20,18,0,11440.0,73273.2,50767.86,35491.46,15276.4,70982.92,6.41,2
2010.0,4.0,3.0,0,0,0,0,41,20,18,0,20680.0,128112.6,88763.72,64157.64,24606.08,128315.28,6.2,2
2010.0,4.0,3.0,0,0,0,0,70,1,4,0,5280.0,26384.66,21844.68,16380.68,5464.0,32761.36,5.0,2
2010.0,4.0,3.0,0,0,0,0,26,18,5,0,220.0,1478.4,1108.8,682.53,426.27,1365.06,6.72,2
2010.0,4.0,12.0,0,0,0,0,5,14,21,0,660.0,3756.06,2817.05,2134.7,682.35,4269.4,5.69,1
2010.0,4.0,12.0,0,0,0,0,69,19,1,0,3080.0,20147.82,14151.42,9961.95,4189.47,19923.9,6.54,1
2010.0,4.0,12.0,0,0,0,0,41,20,18,0,20680.0,129849.72,89967.31,64157.64,25809.67,128315.28,6.28,2
2010.0,4.0,19.0,0,0,0,0,76,18,9,0,220.0,1469.16,1031.91,721.14,310.77,1442.28,6.68,0
2010.0,4.0,19.0,0,0,0,0,120,19,23,0,660.0,4795.56,3368.3,2134.7,1233.6,4269.4,7.27,1
2010.0,4.0,19.0,0,0,0,0,69,19,1,0,880.0,5756.52,4043.28,2846.27,1197.01,5692.54,6.54,1
2010.0,4.0,19.0,0,0,0,0,79,19,1,0,1760.0,11198.88,7865.88,5692.54,2173.34,11385.08,6.36,1
2010.0,4.0,19.0,0,0,0,0,78,19,23,0,220.0,1519.98,1067.6,711.57,356.03,1423.14,6.91,1
2010.0,4.0,19.0,0,0,0,0,43,15,14,0,1100.0,7796.25,5847.19,3412.64,2434.55,6825.28,7.09,2
2010.0,4.0,19.0,0,0,0,0,167,0,10,0,1760.0,10200.96,8136.48,5460.22,2676.26,10920.44,5.8,2
2010.0,4.0,19.0,0,0,0,0,136,12,10,0,440.0,2351.58,1875.67,1365.06,510.61,2730.12,5.34,2
2010.0,4.0,19.0,0,0,0,0,152,16,10,0,220.0,1480.71,1181.04,682.53,498.51,1365.06,6.73,2
2010.0,4.0,19.0,0,0,0,0,34,2,17,0,2640.0,12751.2,10170.6,8190.34,1980.26,16380.68,4.83,2
